country,2013,2014,2015,2016,2017,2018
ARG,23852,23048,23466,22697,22962,21918
BOL,6937,7314,7718,8057,8186,8445
BRA,15579,15450,14775,14139,14248,14182
CHL,22056,22501,22949,23003,22685,23222
COL,13032,13564,14038,14186,14055,14085
ECU,11647,11892,11693,11346,11360,11256
PAR,10777,11188,11371,11668,12205,12420
PER,11113,11339,11706,11900,11931,12155
URY,18924,19262,19679,19844,20056,20091
VEN,19360,18833,17214,14528,12436,10380
AL,15407,15461,15376,15082,15100,15010
WORLD,14686,15005,15308,15592,16096,16454
