country,2013,2014,2015,2016,2017,2018
ARG,0.840,0.843,0.847,0.849,0.854,0.856
BOL,0.707,0.712,0.718,0.722,0.733,0.737
BRA,0.748,0.753,0.757,0.762,0.767,0.768
CHL,0.832,0.846,0.852,0.857,0.861,0.862
COL,0.746,0.759,0.760,0.767,0.771,0.772
ECU,0.773,0.773,0.787,0.781,0.785,0.787
PAR,0.715,0.717,0.724,0.723,0.726,0.727
PER,0.770,0.784,0.780,0.787,0.790,0.795
URY,0.804,0.808,0.810,0.816,0.821,0.824
VEN,0.768,0.767,0.765,0.763,0.750,0.749
AL,0.748,0.753,0.756,0.762,0.764,0.766
WORLD,0.697,0.703,0.707,0.712,0.714,0.716
